Name,Age,Salary,Department,Joined_Date,Performance
Employee_v3_001,,,Sales,2021-09-27,Poor
Employee_v3_002,,,Logistics,2023-03-13,Good
Employee_v3_003,37.0,,Procurement,2022-07-10,Poor
Employee_v3_004,40.0,,Sales,2021-07-12,Good
Employee_v3_005,44.0,forty thousand,Logistics,2016-07-10,Good
Employee_v3_006,,sixty-five hundred thousand,Logistics,2016-09-23,Poor
Employee_v3_007,40.0,,Procurement,2022-11-10,Good
Employee_v3_008,,,Logistics,2022-07-17,Poor
Employee_v3_009,,5710589,Logistics,2018-02-23,Poor
Employee_v3_010,,,Procurement,2023-05-08,Poor
Employee_v3_011,,,Procurement,2023-12-05,Poor
Employee_v3_012,37.0,sixty-five hundred thousand,Sales,2023-04-24,Poor
Employee_v3_013,,,Customer Service,2023-07-18,Good
Employee_v3_014,29.0,,Customer Service,2024-08-05,Poor
Employee_v3_015,30.0,forty thousand,Customer Service,2016-12-19,Good
Employee_v3_016,31.0,sixty-five hundred thousand,Procurement,2024-10-18,Good
Employee_v3_017,,,Procurement,2021-02-02,Good
Employee_v3_018,34.0,sixty-five hundred thousand,Procurement,2020-04-29,Good
Employee_v3_019,,forty thousand,Customer Service,2020-08-08,Poor
Employee_v3_020,37.0,6870424,Customer Service,2023-12-19,Good
Employee_v3_021,,,Customer Service,2015-04-09,Poor
Employee_v3_022,29.0,5709147,Sales,2017-11-16,Good
Employee_v3_023,,forty thousand,Customer Service,2018-02-28,Poor
Employee_v3_024,,7130031,Sales,2016-04-13,Poor
Employee_v3_025,,,Procurement,2016-10-15,Good
Employee_v3_026,28.0,,Customer Service,2021-12-03,Good
Employee_v3_027,,8280910,Procurement,2023-07-27,Good
Employee_v3_028,39.0,forty thousand,Logistics,2016-11-09,Good
Employee_v3_029,26.0,sixty-five hundred thousand,Sales,2018-04-03,Good
Employee_v3_030,45.0,7537437,Sales,2022-11-07,Poor
Employee_v3_031,,sixty-five hundred thousand,Customer Service,2023-03-09,Poor
Employee_v3_032,,forty thousand,Logistics,2020-11-24,Poor
Employee_v3_033,31.0,sixty-five hundred thousand,Procurement,2022-04-13,Poor
Employee_v3_034,29.0,sixty-five hundred thousand,Sales,2022-07-30,Good
