Name,Age,Salary,Department,Joined_Date,Performance
Employee_v4_001,,forty thousand,Pharmacy,2018-06-26,Good
Employee_v4_002,40.0,,Billing,2023-05-12,Good
Employee_v4_003,45.0,7691413,Billing,2024-06-09,Good
Employee_v4_004,,,Pharmacy,2018-12-11,Good
Employee_v4_005,,forty thousand,Pharmacy,2021-01-24,Good
Employee_v4_006,42.0,sixty-five hundred thousand,Billing,2019-11-06,Poor
Employee_v4_007,31.0,forty thousand,Pharmacy,2022-12-27,Good
Employee_v4_008,,forty thousand,Administration,2018-12-28,Good
Employee_v4_009,,,Medical,2019-09-01,Good
Employee_v4_010,43.0,,Medical,2016-02-28,Good
Employee_v4_011,38.0,7625042,Pharmacy,2018-04-21,Good
Employee_v4_012,44.0,7234508,Pharmacy,2020-06-13,Good
Employee_v4_013,25.0,6505921,Medical,2024-01-29,Poor
Employee_v4_014,,,Billing,2017-03-10,Good
Employee_v4_015,,8859446,Billing,2020-01-25,Poor
Employee_v4_016,,8539880,Administration,2018-04-28,Good
Employee_v4_017,,sixty-five hundred thousand,Pharmacy,2024-11-21,Good
Employee_v4_018,32.0,,Medical,2023-04-15,Poor
Employee_v4_019,,,Pharmacy,2019-01-06,Good
Employee_v4_020,30.0,,Medical,2023-02-09,Good
Employee_v4_021,28.0,,Administration,2015-07-20,Poor
Employee_v4_022,,,Administration,2021-11-12,Good
Employee_v4_023,36.0,4157344,Billing,2018-10-21,Good
Employee_v4_024,34.0,,Billing,2023-10-06,Poor
Employee_v4_025,43.0,forty thousand,Pharmacy,2023-10-19,Poor
Employee_v4_026,43.0,7261846,Medical,2016-03-07,Poor
Employee_v4_027,42.0,forty thousand,Billing,2017-05-23,Good
Employee_v4_028,,forty thousand,Medical,2017-06-17,Poor
Employee_v4_029,35.0,sixty-five hundred thousand,Billing,2017-11-28,Good
Employee_v4_030,,6207616,Administration,2022-12-17,Good
Employee_v4_031,,7841724,Pharmacy,2018-11-01,Poor
Employee_v4_032,,4526015,Pharmacy,2017-09-04,Poor
Employee_v4_033,,7548390,Billing,2016-05-31,Good
Employee_v4_034,,7331704,Administration,2021-08-03,Good
Employee_v4_035,32.0,forty thousand,Pharmacy,2023-01-03,Poor
Employee_v4_036,24.0,sixty-five hundred thousand,Medical,2022-12-10,Poor
Employee_v4_037,38.0,,Billing,2019-09-08,Poor
Employee_v4_038,,sixty-five hundred thousand,Administration,2018-09-11,Good
Employee_v4_039,45.0,sixty-five hundred thousand,Pharmacy,2017-10-15,Poor
Employee_v4_040,,7574917,Pharmacy,2022-02-06,Good
Employee_v4_041,39.0,,Billing,2015-02-20,Good
Employee_v4_042,,,Medical,2016-06-29,Poor
Employee_v4_043,40.0,4791966,Pharmacy,2017-12-02,Poor
Employee_v4_044,44.0,7516130,Medical,2017-11-18,Good
Employee_v4_045,36.0,5425207,Pharmacy,2023-02-26,Good
Employee_v4_046,,8035628,Medical,2024-06-19,Poor
Employee_v4_047,32.0,8003220,Billing,2018-08-03,Poor
Employee_v4_048,42.0,sixty-five hundred thousand,Pharmacy,2019-08-12,Good
Employee_v4_049,,sixty-five hundred thousand,Medical,2021-01-28,Poor
Employee_v4_050,,5910033,Pharmacy,2016-11-17,Good
Employee_v4_051,,forty thousand,Pharmacy,2023-03-12,Good
Employee_v4_052,43.0,forty thousand,Pharmacy,2023-11-13,Good
Employee_v4_053,,sixty-five hundred thousand,Administration,2024-02-12,Poor
Employee_v4_054,45.0,,Billing,2021-11-11,Good
Employee_v4_055,44.0,forty thousand,Medical,2021-04-28,Poor
Employee_v4_056,44.0,forty thousand,Billing,2024-12-08,Good
Employee_v4_057,,,Pharmacy,2023-07-05,Poor
Employee_v4_058,,,Administration,2022-12-15,Poor
Employee_v4_059,,,Medical,2018-06-16,Good
Employee_v4_060,,,Billing,2023-12-01,Poor
Employee_v4_061,25.0,forty thousand,Administration,2016-05-16,Poor
Employee_v4_062,,forty thousand,Billing,2017-01-08,Good
Employee_v4_063,,4553643,Administration,2021-03-14,Good
Employee_v4_064,,forty thousand,Billing,2017-09-18,Good
Employee_v4_065,,sixty-five hundred thousand,Medical,2015-09-17,Good
Employee_v4_066,,,Medical,2017-07-10,Poor
Employee_v4_067,32.0,sixty-five hundred thousand,Administration,2017-06-22,Good
Employee_v4_068,35.0,forty thousand,Billing,2020-09-11,Poor
Employee_v4_069,45.0,4196687,Administration,2022-03-08,Good
Employee_v4_070,32.0,forty thousand,Medical,2017-04-26,Good
Employee_v4_071,,sixty-five hundred thousand,Administration,2021-07-10,Poor
Employee_v4_072,,,Administration,2023-05-20,Poor
Employee_v4_073,,sixty-five hundred thousand,Billing,2019-06-17,Poor
Employee_v4_074,,forty thousand,Administration,2020-01-19,Poor
Employee_v4_075,30.0,sixty-five hundred thousand,Administration,2022-02-05,Poor
Employee_v4_076,29.0,sixty-five hundred thousand,Medical,2023-10-13,Poor
Employee_v4_077,42.0,,Administration,2021-06-02,Poor
Employee_v4_078,,8310673,Pharmacy,2021-01-27,Good
Employee_v4_079,35.0,forty thousand,Medical,2016-04-09,Good
Employee_v4_080,31.0,4522451,Administration,2016-08-14,Good
Employee_v4_081,,6079268,Billing,2022-08-03,Good
Employee_v4_082,41.0,,Administration,2018-03-29,Poor
Employee_v4_083,30.0,,Administration,2019-01-09,Good
Employee_v4_084,,5905386,Medical,2021-08-09,Poor
Employee_v4_085,,8798062,Administration,2024-10-02,Poor
Employee_v4_086,27.0,sixty-five hundred thousand,Administration,2024-12-09,Good
Employee_v4_087,,sixty-five hundred thousand,Pharmacy,2020-06-19,Good
Employee_v4_088,25.0,forty thousand,Billing,2022-01-28,Good
Employee_v4_089,,sixty-five hundred thousand,Administration,2021-04-22,Poor
Employee_v4_090,25.0,4454813,Medical,2018-09-22,Poor
Employee_v4_091,,sixty-five hundred thousand,Billing,2016-01-30,Good
Employee_v4_092,,,Administration,2016-07-18,Good
Employee_v4_093,,7393907,Pharmacy,2017-05-02,Good
Employee_v4_094,36.0,forty thousand,Medical,2023-05-21,Poor
Employee_v4_095,34.0,4727050,Medical,2015-05-04,Good
Employee_v4_096,,sixty-five hundred thousand,Medical,2023-06-11,Poor
Employee_v4_097,,,Medical,2015-01-29,Good
Employee_v4_098,24.0,,Pharmacy,2015-06-10,Poor
Employee_v4_099,24.0,sixty-five hundred thousand,Billing,2021-04-16,Poor
Employee_v4_100,26.0,6018672,Administration,2016-06-17,Good
Employee_v4_101,,,Billing,2023-07-08,Poor
Employee_v4_102,43.0,forty thousand,Administration,2019-12-03,Poor
Employee_v4_103,,forty thousand,Billing,2020-09-29,Poor
Employee_v4_104,,forty thousand,Pharmacy,2023-11-08,Poor
Employee_v4_105,44.0,forty thousand,Pharmacy,2021-04-03,Poor
Employee_v4_106,45.0,sixty-five hundred thousand,Pharmacy,2024-04-18,Poor
Employee_v4_107,42.0,forty thousand,Billing,2019-09-05,Good
Employee_v4_108,33.0,sixty-five hundred thousand,Administration,2020-11-18,Poor
Employee_v4_109,,sixty-five hundred thousand,Billing,2018-02-20,Good
Employee_v4_110,,,Medical,2020-09-26,Good
Employee_v4_111,32.0,,Administration,2015-04-07,Poor
Employee_v4_112,24.0,,Medical,2018-10-22,Poor
Employee_v4_113,,,Medical,2020-09-10,Poor
Employee_v4_114,,sixty-five hundred thousand,Billing,2020-04-01,Good
Employee_v4_115,31.0,5860028,Billing,2018-12-04,Poor
Employee_v4_116,,7260164,Pharmacy,2020-11-07,Poor
Employee_v4_117,,sixty-five hundred thousand,Medical,2019-04-16,Poor
Employee_v4_118,34.0,forty thousand,Administration,2017-03-16,Poor
Employee_v4_119,29.0,,Administration,2020-05-10,Poor
Employee_v4_120,,4762508,Billing,2021-01-30,Poor
Employee_v4_121,,sixty-five hundred thousand,Administration,2019-04-28,Poor
