Name,Age,Salary,Department,Joined_Date,Performance
Employee_v1_001,,sixty-five hundred thousand,HR,2018-07-13,Poor
Employee_v1_002,39.0,5278735,Marketing,2016-09-08,Good
Employee_v1_003,30.0,,Finance,2017-11-10,Good
Employee_v1_004,30.0,6931036,Marketing,2022-11-04,Good
Employee_v1_005,,,Marketing,2019-09-23,Poor
Employee_v1_006,27.0,forty thousand,IT,2016-01-31,Good
Employee_v1_007,,forty thousand,IT,2023-03-08,Poor
Employee_v1_008,,,HR,2022-06-10,Good
Employee_v1_009,,,Finance,2016-03-31,Good
Employee_v1_010,42.0,,Finance,2015-04-30,Good
Employee_v1_011,,forty thousand,Finance,2021-05-31,Good
Employee_v1_012,44.0,forty thousand,HR,2017-12-22,Good
Employee_v1_013,,forty thousand,HR,2019-05-02,Poor
Employee_v1_014,,sixty-five hundred thousand,Finance,2020-08-15,Poor
Employee_v1_015,,8370123,Finance,2022-06-16,Good
Employee_v1_016,,sixty-five hundred thousand,Finance,2015-10-07,Poor
Employee_v1_017,38.0,,Marketing,2023-01-22,Poor
Employee_v1_018,,sixty-five hundred thousand,IT,2019-03-13,Poor
Employee_v1_019,37.0,forty thousand,IT,2019-07-13,Good
Employee_v1_020,,sixty-five hundred thousand,HR,2021-08-29,Poor
Employee_v1_021,,,IT,2019-01-11,Good
Employee_v1_022,38.0,sixty-five hundred thousand,Marketing,2019-11-11,Poor
Employee_v1_023,33.0,sixty-five hundred thousand,Marketing,2015-12-04,Good
Employee_v1_024,,,IT,2021-04-18,Good
Employee_v1_025,,8383048,Marketing,2018-04-06,Poor
Employee_v1_026,,sixty-five hundred thousand,Marketing,2020-03-15,Good
Employee_v1_027,,forty thousand,IT,2021-01-16,Poor
Employee_v1_028,,,Finance,2017-08-22,Good
Employee_v1_029,31.0,,Marketing,2018-12-28,Good
Employee_v1_030,45.0,6975170,Marketing,2022-10-17,Poor
Employee_v1_031,34.0,8368929,Marketing,2017-06-24,Poor
Employee_v1_032,43.0,forty thousand,IT,2017-06-26,Good
Employee_v1_033,,,HR,2019-02-20,Poor
Employee_v1_034,43.0,forty thousand,Marketing,2019-05-02,Poor
Employee_v1_035,26.0,8650253,Finance,2019-05-09,Good
Employee_v1_036,40.0,forty thousand,HR,2016-05-01,Good
Employee_v1_037,30.0,4454891,HR,2016-05-06,Good
Employee_v1_038,,sixty-five hundred thousand,Marketing,2016-10-29,Good
Employee_v1_039,43.0,,Finance,2015-06-13,Poor
Employee_v1_040,31.0,,Finance,2020-12-23,Good
Employee_v1_041,,sixty-five hundred thousand,IT,2018-09-09,Poor
Employee_v1_042,,,IT,2021-10-31,Poor
Employee_v1_043,39.0,,Marketing,2020-08-25,Poor
Employee_v1_044,43.0,forty thousand,HR,2020-08-15,Poor
Employee_v1_045,28.0,,HR,2024-06-16,Poor
Employee_v1_046,,,Finance,2020-12-06,Poor
Employee_v1_047,29.0,forty thousand,HR,2017-11-16,Good
Employee_v1_048,,,IT,2015-04-23,Poor
Employee_v1_049,41.0,,HR,2018-07-12,Good
Employee_v1_050,,5528218,IT,2018-12-03,Good
Employee_v1_051,,forty thousand,HR,2022-08-12,Good
Employee_v1_052,40.0,sixty-five hundred thousand,HR,2019-03-22,Poor
Employee_v1_053,30.0,8575630,Marketing,2024-10-04,Poor
Employee_v1_054,,4654692,HR,2016-12-30,Good
Employee_v1_055,,,Finance,2022-06-08,Good
Employee_v1_056,40.0,sixty-five hundred thousand,HR,2023-04-26,Poor
Employee_v1_057,,7150338,Marketing,2017-02-06,Poor
Employee_v1_058,43.0,forty thousand,Marketing,2015-08-08,Good
Employee_v1_059,31.0,4897421,IT,2022-02-01,Poor
Employee_v1_060,38.0,sixty-five hundred thousand,Marketing,2015-11-07,Good
Employee_v1_061,,sixty-five hundred thousand,Marketing,2017-01-15,Good
Employee_v1_062,37.0,forty thousand,Marketing,2024-03-03,Good
Employee_v1_063,,7979988,IT,2019-02-15,Good
Employee_v1_064,39.0,,HR,2015-03-14,Poor
Employee_v1_065,,,IT,2023-05-10,Good
Employee_v1_066,,forty thousand,Marketing,2020-10-30,Good
Employee_v1_067,,forty thousand,HR,2019-06-02,Poor
Employee_v1_068,,4766338,Marketing,2015-09-30,Poor
Employee_v1_069,,4647055,HR,2017-02-06,Good
Employee_v1_070,,5220597,IT,2021-05-04,Poor
