Name,Age,Salary,Department,Joined_Date,Performance
Employee_v5_001,43.0,sixty-five hundred thousand,Publishing,2024-04-29,Good
Employee_v5_002,34.0,sixty-five hundred thousand,Design,2015-05-01,Good
Employee_v5_003,41.0,forty thousand,Research,2024-10-18,Good
Employee_v5_004,26.0,,Research,2024-09-14,Poor
Employee_v5_005,,8824197,Research,2022-10-01,Poor
Employee_v5_006,36.0,forty thousand,Publishing,2016-02-04,Good
Employee_v5_007,32.0,sixty-five hundred thousand,Editorial,2024-12-17,Good
Employee_v5_008,26.0,sixty-five hundred thousand,Research,2017-11-18,Good
Employee_v5_009,,5431095,Research,2022-02-09,Poor
Employee_v5_010,,8628944,Design,2023-12-01,Poor
Employee_v5_011,,,Design,2021-10-01,Good
Employee_v5_012,,forty thousand,Editorial,2022-09-03,Good
Employee_v5_013,,forty thousand,Publishing,2018-03-23,Poor
Employee_v5_014,24.0,forty thousand,Research,2020-01-19,Poor
Employee_v5_015,,,Design,2024-08-12,Good
Employee_v5_016,43.0,,Design,2023-11-19,Good
Employee_v5_017,39.0,sixty-five hundred thousand,Publishing,2017-10-29,Poor
Employee_v5_018,,,Editorial,2020-03-16,Poor
Employee_v5_019,,sixty-five hundred thousand,Research,2017-02-07,Poor
Employee_v5_020,33.0,5642340,Design,2017-04-11,Poor
Employee_v5_021,,6117928,Publishing,2017-07-26,Good
Employee_v5_022,31.0,,Publishing,2020-04-01,Good
Employee_v5_023,28.0,4623972,Design,2015-01-12,Good
Employee_v5_024,38.0,7037673,Publishing,2018-10-13,Poor
Employee_v5_025,,forty thousand,Design,2017-01-17,Poor
Employee_v5_026,40.0,4585478,Publishing,2018-01-07,Good
Employee_v5_027,,forty thousand,Design,2022-07-30,Good
Employee_v5_028,,forty thousand,Design,2018-07-08,Good
Employee_v5_029,36.0,forty thousand,Research,2015-11-19,Good
Employee_v5_030,,sixty-five hundred thousand,Editorial,2021-04-02,Poor
Employee_v5_031,,sixty-five hundred thousand,Publishing,2016-05-21,Poor
Employee_v5_032,,5568667,Design,2022-06-26,Good
